id,BankFullFlow,bankErosionCoeff,BankHeight_M,bankMgtFactor,eventMeanConcentration,HillSlopeFinePerc,HillslopeFineSDR,Load_Conversion_Factor,RiparianVegPercent,sedBulkDensity,SoilErodibility,SoilPercentFine,USLE_HSDR_Fine,A3,RainThreshold,Beta,LinkLength_M,Link_Slope,LongTermAvDailyFlow,Gully_Management_Practice_Factor,Gully_SDR_Fine,maxRiparianVegEffectiveness,ave_annual
17,1.2062,0.7188,0.9156,1.0812,1.0125,0.9438,0.8906,0.9094,1.0438,1.0406,0.9688,1.0312,1.1219,1.1625,1.0375,0.9562,0.9531,1.0344,0.9062,0.9562,0.9969,0.9656,27769258.520317405
18,0.9062,1.2188,1.0656,0.9812,0.8125,1.0438,0.6406,0.9594,0.9438,0.9906,0.8688,0.9312,0.9719,0.9625,0.8375,1.0563,1.0031,0.9844,1.0062,1.0563,0.9469,1.0156,27905382.337458562
19,0.9812,0.5938,1.1031,0.9562,0.8625,1.0688,0.9531,0.9219,1.0188,1.0031,0.9938,0.9062,1.0844,0.8125,0.8875,1.0812,1.0156,0.9969,0.9312,0.9312,0.9594,1.0281,26358976.19423926
20,1.2812,1.0938,0.9531,1.0563,1.0625,0.9688,0.7031,0.9719,0.9188,0.9531,0.8938,1.0062,0.9344,1.0125,1.0875,0.9812,0.9656,1.0469,1.0312,1.0312,0.9094,0.9781,31218484.909828205
21,1.1312,0.8438,1.0281,0.9062,1.1625,0.9188,0.8281,0.9969,0.9688,0.9781,0.8438,1.0563,1.0094,0.9125,1.1875,1.0312,0.9906,0.9719,1.0812,0.9812,0.9844,0.9531,26926002.388950698
22,0.8312,1.3438,0.8781,1.0062,0.9625,1.0188,0.5781,0.9469,1.0688,1.0281,0.9438,0.9562,0.8594,1.1125,0.9875,0.9312,1.0406,1.0219,0.9812,1.0812,0.9344,1.0031,23530130.686770324
23,0.7938,0.6562,1.0094,1.0688,1.1375,1.0312,0.9844,0.9156,1.0062,0.9969,0.9312,0.9938,0.9531,0.9375,1.0125,1.0938,0.9594,0.9781,0.9438,0.9688,0.9531,0.9844,25288542.971986603
24,1.0938,1.1562,0.8594,0.9688,0.9375,0.9312,0.7344,0.9656,0.9062,1.0469,0.8312,1.0938,1.1031,1.1375,0.8125,0.9938,1.0094,1.0281,1.0438,1.0688,0.9031,1.0344,30789599.987323843
25,1.2438,0.9062,1.0844,1.0188,0.8375,0.9812,0.8594,0.9906,0.9562,1.0219,0.8812,1.0438,0.8781,0.8375,0.9125,1.0438,1.0344,0.9531,1.0938,0.9188,0.9781,1.0094,28869021.669704415
26,0.9438,1.4062,0.9344,0.9188,1.0375,1.0812,0.6094,0.9406,1.0563,0.9719,0.9812,0.9438,1.0281,1.0375,1.1125,0.9438,0.9844,1.0031,0.9938,1.0188,0.9281,0.9594,26262174.425886504
27,0.8688,0.7812,0.8969,0.9438,1.0875,1.0062,0.7969,0.9781,0.9812,1.0344,0.8562,0.9188,0.9156,1.1875,1.1625,0.9188,0.9969,1.0156,1.0688,0.9938,0.9656,0.9969,20989695.63190795
28,1.1688,1.2812,1.0469,1.0438,0.8875,0.9062,0.5469,0.9281,1.0812,0.9844,0.9562,1.0188,1.0656,0.9875,0.9625,1.0188,1.0469,0.9656,0.9688,1.0938,0.9156,1.0469,31799462.793415405
29,1.0188,0.5312,0.9719,0.9938,0.9875,0.9562,0.9219,0.9031,1.0312,0.9594,0.9062,1.0688,0.9906,1.0875,0.8625,0.9688,1.0219,1.0406,0.9188,0.9438,0.9906,1.0219,23184722.690589402
30,0.7188,1.0312,1.1219,1.0938,1.1875,1.0563,0.6719,0.9531,0.9312,1.0094,0.8062,0.9688,1.1406,0.8875,1.0625,1.0688,0.9719,0.9906,1.0188,1.0438,0.9406,0.9719,29113233.549534477
31,0.7281,0.7656,1.0609,1.0094,0.8562,1.0844,0.8984,0.9672,1.0969,0.9547,0.8781,1.0906,0.9859,1.1938,1.1938,0.9219,0.9672,0.9547,0.9844,1.0031,0.9328,1.0203,20550331.3743222
32,1.0281,1.2656,0.9109,0.9094,1.0562,0.9844,0.6484,0.9172,0.9969,1.0047,0.9781,0.9906,1.1359,0.9938,0.9938,1.0219,1.0172,1.0047,1.0844,0.9031,0.9828,0.9703,29853054.69934613
33,1.1781,0.5156,1.1359,1.0594,1.1562,0.9344,0.7734,0.9422,0.9469,1.0297,0.9281,0.9406,0.9109,1.0938,0.8938,0.9719,1.0422,0.9797,1.0344,1.0531,0.9078,0.9953,24797377.222042438
34,0.8781,1.0156,0.9859,0.9594,0.9562,1.0344,0.5234,0.9922,1.0469,0.9797,0.8281,1.0406,1.0609,0.8938,1.0938,1.0719,0.9922,1.0297,0.9344,0.9531,0.9578,1.0453,26074157.54715163
35,0.9531,0.6406,0.8734,0.9844,0.9062,1.0594,0.8359,0.9297,0.9219,1.0172,0.9031,1.0156,0.8734,0.9438,1.0438,1.0969,0.9797,1.0422,1.0094,1.0281,0.9453,1.0078,23683135.379792877
36,1.2531,1.1406,1.0234,1.0844,1.1062,0.9594,0.5859,0.9797,1.0219,0.9672,0.8031,0.9156,1.0234,1.1438,0.8438,0.9969,1.0297,0.9922,0.9094,0.9281,0.9953,0.9578,30720584.1250573
37,1.1031,0.8906,0.9484,0.9344,1.0062,0.9094,0.9609,0.9547,1.0719,0.9922,0.8531,0.9656,0.9484,0.8438,0.9438,1.0469,1.0047,1.0172,0.9594,1.0781,0.9203,0.9828,25425591.08054043
38,0.8031,1.3906,1.0984,1.0344,0.8062,1.0094,0.7109,0.9047,0.9719,1.0422,0.9531,1.0656,1.0984,1.0438,1.1438,0.9469,0.9547,0.9672,1.0594,0.9781,0.9703,1.0328,29227309.6052841
39,0.8406,0.5781,0.9297,1.0969,1.0812,1.0469,0.8672,0.9359,0.9094,0.9859,0.9656,1.0781,1.0047,0.8188,0.8688,1.0844,1.0484,1.0359,1.0219,1.0656,0.9391,0.9516,26758764.165581305
