,mean,std
22_552_uniform,0.014257436842809477,0.0031098342331017065
11_156_uniform,0.004436337694961656,0.002127266960221233
11_552_uniform,0.006518291187149917,0.0005609394722807904
11_156_beta,0.004446113024045826,0.0035333854249158373
11_552_beta,0.00649992920985475,0.0005720904296371405
