,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,9.592471397687556e-168,1.522399152854421e-166,1.522399152854421e-166,9.41257511179402e-168,2.396619961945673e-168,3.755715687320304e-167
10,9.592471397687556e-168,1.522399152854421e-166,5.728163385319411e-10,5.728163385319411e-10,4.2475154084352807e-10,5.728163385319411e-10
9,9.592471397687556e-168,1.522399152854421e-166,0.017090148468768534,0.0170346454925208,0.0170346454925208,0.017090148468768534
8,9.592471397687556e-168,1.522399152854421e-166,0.017090148468768534,0.06917625399020766,0.06917625399020766,0.07740021055161653
7,9.592471397687556e-168,1.522399152854421e-166,0.017090148468768534,0.06917625399020766,0.06917625399020766,0.28779764348473313
6,9.592471397687556e-168,1.522399152854421e-166,0.017090148468768534,0.4659595288557257,0.5005673707894058,0.4659595288557257
5,9.592471397687556e-168,1.522399152854421e-166,0.017090148468768534,0.4659595288557257,0.5005673707894058,0.6854967337920594
4,9.592471397687556e-168,1.522399152854421e-166,0.017090148468768534,0.9937026761524456,0.9937026761524456,0.9969602438295625
3,9.592471397687556e-168,1.522399152854421e-166,0.017090148468768534,0.9937026761524456,0.9937026761524456,0.9987234512860412
2,9.592471397687556e-168,1.522399152854421e-166,0.017090148468768534,0.9937026761524456,0.9998734489003387,0.9987234512860412
1,9.592471397687556e-168,1.522399152854421e-166,0.9969602438295625,0.9937026761524456,0.9998734489003387,0.9987234512860412
