,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.8512625449843015,0.8485038087273316,0.8516567332735387,0.8504310801154027
9,0.0,0.0,1.0113581107743623,1.0082246499881216,1.0102988095311458,1.009851688924003
8,0.0,0.0,1.0113581107743623,1.0246629055601617,1.02468084292646,1.025501315221994
7,0.0,0.0,1.0113581107743623,1.0246629055601617,1.02468084292646,1.033851869938533
6,0.0,0.0,1.0113581107743623,1.0196447590936044,1.018960309671673,1.019706100729683
5,0.0,0.0,1.0113581107743623,1.0196447590936044,1.018960309671673,1.0244164079317484
4,0.0,0.0,1.0113581107743623,1.0143980341446601,1.014446521141594,1.0142005264750882
3,0.0,0.0,1.0113581107743623,1.0143980341446601,1.014446521141594,1.010276901003479
2,0.0,0.0,1.0113581107743623,1.0143980341446601,1.0090192280005676,1.010276901003479
1,0.0,0.0,1.0150018904912015,1.0143980341446601,1.0090192280005676,1.010276901003479
