,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000
0,0.521,0.524,0.5335,0.5348,0.5233333333333333,0.5334285714285715,0.5347375,0.5357777777777778,0.5408,0.5434499999999999,0.5315,0.5403038461538461,0.5409964285714286,0.5463933333333333,0.54375,0.5470558823529412,0.5467750000000001,0.5451578947368421,0.5456
1,0.05,0.048,0.0445,0.0512,0.05,0.05,0.04749375,0.04710555555555556,0.053395,0.048545454545454544,0.05349583333333333,0.04907307692307692,0.053285714285714283,0.0472,0.048625,0.04752941176470588,0.04910833333333333,0.04862894736842105,0.0497
2,0.041,0.04133333333333333,0.04,0.0408,0.04566666666666667,0.03999285714285714,0.03875,0.04111111111111111,0.043195,0.039818181818181815,0.043,0.04153846153846154,0.044425,0.0404,0.040125,0.039058823529411764,0.03944444444444444,0.04031578947368421,0.0409975
3,0.029,0.026650000000000004,0.026,0.02159,0.02,0.023714285714285716,0.01849375,0.01932777777777778,0.019,0.019636363636363636,0.020833333333333332,0.019846153846153847,0.018139285714285712,0.017333333333333333,0.016871875,0.016588235294117647,0.016666666666666666,0.019473684210526317,0.0184
4,0.022,0.020666666666666667,0.0185,0.0156,0.015333333333333332,0.016,0.01225,0.012,0.012995,0.012545454545454545,0.012666666666666666,0.012461538461538461,0.011714285714285714,0.011333333333333334,0.011125,0.010232352941176472,0.011330555555555556,0.012523684210526315,0.0100975
5,0.021,0.016666666666666666,0.0155,0.0136,0.012333333333333333,0.013142857142857144,0.012243750000000001,0.01,0.0118,0.01,0.0105,0.010615384615384615,0.009857142857142858,0.0096,0.009875,0.008823529411764706,0.009555555555555555,0.00968421052631579,0.0088
6,0.018,0.014,0.0135,0.0112,0.010666666666666666,0.009714285714285713,0.00975,0.008666666666666666,0.0084,0.0076363636363636364,0.008495833333333333,0.008153846153846154,0.007285714285714286,0.007733333333333333,0.007375,0.007058823529411765,0.007,0.007263157894736842,0.0072
7,0.011,0.009333333333333334,0.0085,0.0076,0.007,0.006285714285714286,0.006,0.005333333333333333,0.0054,0.005272727272727273,0.005166666666666667,0.004923076923076923,0.004428571428571428,0.004533333333333334,0.0045,0.004,0.004222222222222222,0.004210526315789474,0.004
8,0.011,0.009333333333333334,0.0085,0.0076,0.007333333333333333,0.006857142857142857,0.0065,0.006,0.006,0.006,0.005666666666666667,0.006,0.005571428571428572,0.0056,0.0055,0.005058823529411765,0.005333333333333333,0.005368421052631579,0.005
