,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000
0,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186
1,36190387.714986145,36102740.9109584,35609002.94994364,35594283.854749545,35668766.63946689,35241155.06878162,35849174.92933307,35435807.03690931,35272014.451343425,35582666.68956391,35610092.0810498,35507959.26843223,35536176.71975074,35396514.5113307,35489192.31600962,35437887.27799632,35438308.95409551,35359646.72538797,35616561.56039841
2,36098222.42906316,35831120.02818681,35867140.72380905,36226955.19408039,36054392.59550776,35714756.69121529,36002680.60924754,35853601.699439734,35560592.43908633,35710669.45561733,35820372.8183002,35667617.85019292,35692062.08144965,35736263.15719903,35858322.41116769,35788415.59338369,35753325.84334954,35584878.49563292,35859081.389926895
3,36936374.99671395,36459326.29452917,36389577.03377631,36921176.579008944,36462121.222882316,36309898.34201841,36526534.14455859,36031680.455640756,36187079.38375775,36544792.89613075,36354961.04781345,36256936.94420896,36161369.002260685,36433825.18033241,36314861.65694482,36302032.784115285,36268223.71569247,36300170.72494561,36474243.16292982
4,36970100.40393575,36624816.52402034,36563178.81890158,37265844.73245063,36830138.67548201,36640473.4004739,36803225.985437125,36353796.71831162,36525675.3336,36641651.33902857,36591113.92974795,36671806.46796403,36668306.65250957,36809909.30883309,36674699.91382462,36584822.942789614,36879498.01602086,36627276.44661248,36804205.62695043
5,37386947.11111101,37158979.85183613,36582284.0509566,37312478.97260982,37009443.1535174,37117020.540971324,36899591.19677228,36589357.44591781,36830535.79800105,37078266.63089066,36731898.310216144,36969466.24710224,37084446.076919675,37007627.03050429,36907051.85163907,36880940.77946577,36858111.10429564,36714105.132658646,37027614.64119655
6,37397620.92694876,37115683.60528441,36469754.197380245,37291389.83281899,36958373.25317301,37150632.72443998,36867641.96951002,36598537.41615661,36830568.76547962,37076074.6461605,36771863.07274684,36932820.9850362,37076218.77703472,37012169.74887661,36941713.715281025,36824115.08625044,36922930.86944038,36749303.360357486,36994728.35864676
