,1000,1500,2000,2500,3000,3500,4000,4500,5000
0,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186,27744116.10124186
1,22506283.28162745,22317707.79524336,22417604.04170259,22445727.95256077,22385625.059547175,22417920.591362245,22420152.224088684,22497081.154331435,22502228.826841954
2,19686143.160819344,19534616.627878934,20192505.36374831,19834827.077558912,19630985.722076915,19845764.429074313,19837147.218637753,19788012.69413536,20036698.895102926
3,19758628.682178374,19177442.984629326,19889266.79016878,19525338.27669734,19446872.953259964,19665846.069551747,19431297.344798505,19695295.025588423,19602233.83276644
4,19780819.21349488,19144675.545209814,19677505.94928225,19447290.70233588,19318465.056639086,19414098.405617967,19216105.891942818,19518700.675220113,19522170.552279696
5,19519406.5625277,19226382.79893733,19593188.204074137,19364890.003915578,19289070.718004756,19382224.607540682,19324816.727659434,19442232.29779057,19489909.68639986
