,bankErosionCoeff,eventMeanConcentration,HillslopeFineSDR,RiparianVegPercent,USLE_HSDR_Fine,A3,RainThreshold,Beta,LongTermAvDailyFlow,Gully_Management_Practice_Factor,maxRiparianVegEffectiveness,TSS_ave
0,0.9,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,27749663.785139263
1,0.7574434397770383,1.1,0.7495312499999999,1.05,0.925,0.9,1.1,0.9,1.05,0.87875,1.025,22361125.419947572
2,0.9654073890298459,0.9,1.12734375,0.95,1.075,1.1,0.9,1.1,0.95,1.02375,0.975,32258325.86014757
3,0.9003622084244279,0.95,0.83166015625,1.075,0.9625,1.05,0.95,1.15,1.075,0.8440625,0.9625,26441953.49102277
4,1.3080167799558076,1.15,1.30517578125,0.975,1.1125,0.85,1.15,0.95,0.975,0.9865624999999999,1.0125,34763889.3801187
5,0.6485495430889485,1.05,0.59169921875,0.925,0.8875,1.15,1.05,1.05,0.925,0.9140625,1.0375,25325871.271605052
6,0.6607170929953162,0.85,1.06927734375,1.025,1.0375,0.95,0.85,0.85,1.025,1.0615625,0.9875,21670015.760559868
7,0.6402831367328347,1.025,0.914171775,1.0875,1.1312,1.175,1.125,1.175,1.0875,0.8843449999999999,1.0188,26754126.623572167
8,1.3342600538303988,0.825,1.3990419299999999,0.9875,0.9812,0.975,0.925,0.975,0.9875,1.02935,0.9688,32795115.447471194
9,0.6683780324078872,0.925,0.6355913849999999,0.9375,1.0562,1.075,0.825,1.075,0.9375,0.8612175,0.9938,27233846.837468915
10,0.8360604121545816,1.125,1.10006029,1.0375,0.9062,0.875,1.025,0.875,1.0375,1.0062225,1.0438,23967951.842770662
11,0.5031391090945045,1.175,0.5065771275000001,0.9125,1.0187,0.925,1.075,0.825,0.9125,0.8948725000000001,1.0062,20608445.253993917
12,1.4869883201019434,0.975,1.0604616575,1.0125,0.8688,1.125,0.875,1.025,1.0125,1.0398675,0.9562,32503488.217190467
13,0.817902581466879,0.875,0.8122128299999999,1.0625,1.0938,0.825,0.975,0.925,1.0625,0.873,0.9812,23861037.759170584
14,0.845715910848968,1.075,1.18406736,0.9625,0.9438,1.025,1.175,1.125,0.9625,1.017995,1.0312,29846156.991364148
15,0.5876547994652537,0.9125,1.062722092832,0.9938,1.0469,1.0625,0.9375,0.8125,1.0563,0.88073578,1.0406,20309593.5187056
16,1.5913953731398107,1.1125,0.494814584832,1.0938,0.8969,0.8625,1.1375,1.0125,0.9562,0.92761578,0.9906,30261586.028815784
17,0.9186341487518962,1.0125,1.1323833158319998,1.0438,1.1219,1.1625,1.0375,0.9125,0.9062,0.9532357800000001,0.9656,28053164.843543477
18,0.9113206931011562,0.8125,0.765896963832,0.9438,0.9719,0.9625,0.8375,1.1125,1.0062,1.00021047,1.0156,28513884.791890346
19,0.554337870661484,0.8625,1.340971106832,1.0188,1.0844,0.8125,0.8875,1.1625,0.9312,0.8933932800000001,1.0281,28024567.801457293
20,1.2617398328792309,1.0625,0.866996301832,0.9188,0.9344,1.0125,1.0875,0.9625,1.0312,0.9377732799999999,0.9781,31654156.639259093
21,0.7527988298110931,1.1625,1.105819579332,0.9688,1.0094,0.9125,1.1875,1.0625,1.0812,0.96589328,0.9531,28266636.183548905
22,0.9395456782100621,0.9625,0.627196524332,1.0688,0.8594,1.1125,0.9875,0.8625,0.9812,1.01027328,1.0031,21798421.631140854
23,0.5050095758200611,1.1375,1.365812679168,1.0062,0.9531,0.9375,1.0125,1.1875,0.9438,0.9233632799999999,0.9844,27262917.06636059
24,1.0312763667507807,0.9375,0.903292999168,0.9062,1.1031,1.1375,0.8125,0.9875,1.0438,0.96523328,1.0344,31020817.329184107
25,1.119349737905403,0.8375,1.1959942531680001,0.9562,0.8781,0.8375,0.9125,1.0875,1.0938,0.8986782799999999,1.0094,29848260.085467998
26,1.027043362756653,1.0375,0.7035530731679999,1.0563,1.0281,1.0375,1.1125,0.8875,0.9938,0.94554828,0.9594,25091620.516489625
27,0.4746605630738653,1.0875,1.073162301918,0.9812,0.9156,1.1875,1.1625,0.8375,1.0688,0.95961328,0.9969,19875845.715640675
28,1.5223782312558451,0.8875,0.525258918918,1.0812,1.0656,0.9875,0.9625,1.0375,0.9688,1.00148328,1.0469,31383505.102379866
29,0.5065543092663298,0.9875,1.187008251418,1.0312,0.9906,1.0875,0.8625,0.9375,0.9188,0.9349282800000001,1.0219,23507656.245913707
30,0.7083760308866632,1.1875,0.826824524418,0.9312,1.1406,0.8875,1.0625,1.1375,1.0188,0.98179828,0.9719,30149041.60610917
31,0.519324102852426,0.8562,1.307295742896,1.0969,0.9859,1.1938,1.1938,0.8438,0.9844,0.93569168,1.0203,19786657.759399146
32,1.0559650349249239,1.0562,0.725215529896,0.9969,1.1359,0.9938,0.9938,1.0438,1.0844,0.88756668,0.9703,30177572.78980631
33,0.6464261514988484,1.1562,0.954035614896,0.9469,0.9109,1.0938,0.8938,0.9438,1.0344,0.95600418,0.9953,24655745.243323825
34,0.7326931013270931,0.9562,0.5519674878960001,1.0469,1.0609,0.8938,1.0938,1.1438,0.9344,0.9128791799999999,1.0453,26509643.016779333
35,0.509397363202847,0.9062,1.121874038271,0.9219,0.8734,0.9438,1.0438,1.1938,1.0094,0.97186293,1.0078,25082661.55969311
36,1.1226538556988388,1.1062,0.644897743271,1.0219,1.0234,1.1438,0.8438,0.9938,0.9094,0.92373793,0.9578,30305555.974759936
