,100,200,300,400,500,600,700,800,900,1000
0,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454
1,36019745.70025927,35794422.22285082,35915059.45897704,35852806.958844,35950327.91950526,35900354.281169824,35765692.971636355,35489406.408481985,35180821.62110897,35921997.690409236
2,35633071.85762693,37799971.85933484,35127929.99214081,37409387.6709715,37200199.417848006,36803509.79776554,36880360.49209182,36203039.29802251,36316913.10491293,36664872.69502142
3,35319246.74192296,37726640.452491045,35007331.18353096,37544460.27730977,37193194.515446395,36384293.00042778,36698285.37845227,36270709.138361014,36691024.4822866,36493473.75583048
4,35485710.998797506,37865904.39567806,35344309.77350723,37683362.55994251,37844906.856873915,37236745.91119807,36921879.24345284,36402070.680605955,36624438.15947302,36585949.77212112
5,36472915.48268587,38148587.58613911,36136584.50979054,37852240.097291686,38504341.87082906,36963515.2420762,37136835.01684257,36820707.87419731,37004588.67774369,36612236.96540432
6,36675585.6104185,37904278.568449244,36064702.83487018,37922371.45893018,38536324.65274974,37369361.8230106,37275102.29855878,36551726.16982561,36945472.42305355,37343309.53376954
7,36284228.49251508,38600695.63884264,36145946.46324666,37785515.62103182,38623244.827093676,36939932.95111748,37481957.94482207,36578444.725639634,37240333.75827568,37506965.34123455
8,36344336.13438387,38587204.87088129,36051400.91916538,37616084.218431264,38658693.83680773,36865957.828360975,37524419.43859244,36628065.24959254,37288299.0637499,37332976.496308945
