,100,200,300,400,500,600,700,800,900,1000
0,0.64,0.635,0.61,0.6075,0.588,0.5917083333333333,0.5771428571428572,0.57375,0.5744722222222222,0.582
1,0.17,0.145,0.10666666666666667,0.1,0.09204999999999995,0.10666666666666667,0.09571428571428571,0.08753124999999996,0.08555555555555555,0.082
2,0.16,0.14012499999999992,0.09674999999999992,0.0975,0.076,0.09166666666666666,0.08142857142857143,0.0775,0.07222222222222222,0.06902499999999998
3,0.15,0.115,0.10333333333333333,0.095,0.066,0.065,0.06142857142857143,0.05375,0.04888888888888889,0.052
4,0.14,0.1,0.09341666666666659,0.075,0.06,0.06,0.05,0.043781249999999966,0.04666666666666667,0.043
5,0.13,0.095,0.07333333333333333,0.0675,0.054,0.058333333333333334,0.05142857142857143,0.0425,0.03666666666666667,0.039
6,0.12,0.08,0.056666666666666664,0.055,0.046,0.04833333333333333,0.04,0.035,0.03224999999999997,0.035
7,0.09,0.06,0.043333333333333335,0.0325,0.032,0.02666666666666667,0.025714285714285714,0.02125,0.021111111111111112,0.018
8,0.07,0.055,0.03666666666666667,0.0325,0.026,0.023333333333333334,0.022857142857142857,0.0225,0.01891666666666664,0.018
